frame_idx,timestamp,camera_id,camera_kind,vehicle_id,plate,turn,phase,true_speed_mps,world_x,world_y,lane_id
19,0.760,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.13,1.75,143.04,N_in_1
19,0.760,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,7.07,1.75,149.72,N_in_1
20,0.800,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.18,1.75,142.63,N_in_1
20,0.800,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,6.91,1.75,149.44,N_in_1
21,0.840,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.23,1.75,142.22,N_in_1
21,0.840,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,6.75,1.75,149.17,N_in_1
22,0.880,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.28,1.75,141.81,N_in_1
22,0.880,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.38,-1.75,143.76,N_in_0
22,0.880,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,6.59,1.75,148.91,N_in_1
23,0.920,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.33,1.75,141.40,N_in_1
23,0.920,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.41,-1.75,143.31,N_in_0
23,0.920,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,6.43,1.75,148.65,N_in_1
24,0.960,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.38,1.75,140.98,N_in_1
24,0.960,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.45,-1.75,142.85,N_in_0
24,0.960,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,6.27,1.75,148.40,N_in_1
25,1.000,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.43,1.75,140.56,N_in_1
25,1.000,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.48,-1.75,142.39,N_in_0
25,1.000,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,6.11,1.75,148.15,N_in_1
26,1.040,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.48,1.75,140.14,N_in_1
26,1.040,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.52,-1.75,141.93,N_in_0
26,1.040,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,5.95,1.75,147.92,N_in_1
27,1.080,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.53,1.75,139.72,N_in_1
27,1.080,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.55,-1.75,141.47,N_in_0
27,1.080,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,5.79,1.75,147.69,N_in_1
27,1.080,cam_S_in,inbound_rear,V0003,77V-529.38,straight,inbound,7.94,-1.75,-143.82,S_in_1
28,1.120,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.58,1.75,139.30,N_in_1
28,1.120,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.58,-1.75,141.00,N_in_0
28,1.120,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,5.63,1.75,147.46,N_in_1
28,1.120,cam_S_in,inbound_rear,V0003,77V-529.38,straight,inbound,8.00,-1.75,-143.50,S_in_1
28,1.120,cam_E_in,inbound_rear,V0005,53D-467.54,right,inbound,10.65,142.98,1.75,E_in_1
29,1.160,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.63,1.75,138.87,N_in_1
29,1.160,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.62,-1.75,140.54,N_in_0
29,1.160,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,5.47,1.75,147.24,N_in_1
29,1.160,cam_S_in,inbound_rear,V0003,77V-529.38,straight,inbound,8.05,-1.75,-143.18,S_in_1
29,1.160,cam_E_in,inbound_rear,V0005,53D-467.54,right,inbound,10.69,142.55,1.75,E_in_1
30,1.200,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.67,1.75,138.45,N_in_1
30,1.200,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.65,-1.75,140.07,N_in_0
30,1.200,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,5.31,1.75,147.03,N_in_1
30,1.200,cam_S_in,inbound_rear,V0003,77V-529.38,straight,inbound,8.11,-1.75,-142.86,S_in_1
30,1.200,cam_E_in,inbound_rear,V0005,53D-467.54,right,inbound,10.73,142.12,1.75,E_in_1
31,1.240,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.72,1.75,138.02,N_in_1
31,1.240,cam_N_in,inbound_rear,V0002,29A-195.37,straight,inbound,3.64,1.75,143.20,N_in_1
31,1.240,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.68,-1.75,139.60,N_in_0
31,1.240,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,5.15,1.75,146.82,N_in_1
31,1.240,cam_S_in,inbound_rear,V0003,77V-529.38,straight,inbound,8.17,-1.75,-142.53,S_in_1
31,1.240,cam_E_in,inbound_rear,V0005,53D-467.54,right,inbound,10.76,141.69,1.75,E_in_1
32,1.280,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.77,1.75,137.59,N_in_1
32,1.280,cam_N_in,inbound_rear,V0002,29A-195.37,straight,inbound,3.46,1.75,143.06,N_in_1
32,1.280,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.71,-1.75,139.14,N_in_0
32,1.280,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,4.99,1.75,146.62,N_in_1
32,1.280,cam_S_in,inbound_rear,V0003,77V-529.38,straight,inbound,8.22,-1.75,-142.20,S_in_1
32,1.280,cam_E_in,inbound_rear,V0005,53D-467.54,right,inbound,10.80,141.26,1.75,E_in_1
32,1.280,cam_W_in,inbound_rear,V0006,53C-665.47,left,inbound,9.77,-142.92,-1.75,W_in_1
33,1.320,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.81,1.75,137.15,N_in_1
33,1.320,cam_N_in,inbound_rear,V0002,29A-195.37,straight,inbound,3.28,1.75,142.93,N_in_1
33,1.320,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.74,-1.75,138.67,N_in_0
33,1.320,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,4.83,1.75,146.43,N_in_1
33,1.320,cam_S_in,inbound_rear,V0003,77V-529.38,straight,inbound,8.28,-1.75,-141.87,S_in_1
33,1.320,cam_E_in,inbound_rear,V0005,53D-467.54,right,inbound,10.84,140.83,1.75,E_in_1
33,1.320,cam_W_in,inbound_rear,V0006,53C-665.47,left,inbound,9.81,-142.53,-1.75,W_in_1
34,1.360,cam_N_in,inbound_rear,V0001,43H-328.27,left,inbound,10.86,1.75,136.72,N_in_1
34,1.360,cam_N_in,inbound_rear,V0002,29A-195.37,straight,inbound,3.18,1.75,142.81,N_in_1
34,1.360,cam_N_in,inbound_rear,V0004,31R-448.45,straight,inbound,11.77,-1.75,138.20,N_in_0
34,1.360,cam_N_in,inbound_rear,V0008,30P-384.68,right,inbound,4.67,1.75,146.24,N_in_1
34,1.360,cam_S_in,inbound_rear,V0003,77V-529.38,straight,inbound,8.33,-1.75,-141.54,S_in_1
34,1.360,cam_E_in,inbound_rear,V0005,53D-467.54,right,inbound,10.87,140.39,1.75,E_in_1
